Site,Procedure,Coarse_fraction,n,mean,sd,se,ymax,ymin,y_pos,class
I,P0,plant,5,0.116,0.073006849,0.032649655,0.148649655,0.083350345,0.144,low
I,P0,rock,5,0.028,0.038987177,0.017435596,0.045435596,0.010564404,0.028,low
I,P1,plant,5,0.072,0.112116011,0.050139805,0.122139805,0.021860195,0.072,low
I,P1,rock,5,0,0,0,0,0,0,low
I,P2,plant,5,0.012,0.017888544,0.008,0.02,0.004,0.044,low
I,P2,rock,5,0.032,0.040865633,0.018275667,0.050275667,0.013724333,0.032,low
I,P3,plant,5,0.036,0.080498447,0.036,0.072,0,0.036,low
I,P3,rock,5,0,0,0,0,0,0,low
J,P0,plant,5,0.04,0.014142136,0.006324555,0.046324555,0.033675445,0.106,low
J,P0,rock,5,0.066,0.096072889,0.042965102,0.108965102,0.023034898,0.066,low
J,P1,plant,5,0.134,0.176720118,0.079031639,0.213031639,0.054968361,0.134,low
J,P1,rock,5,0,0,0,0,0,0,low
J,P2,plant,5,0.048,0.057183914,0.025573424,0.073573424,0.022426576,0.088,low
J,P2,rock,5,0.04,0.078740079,0.035213634,0.075213634,0.004786366,0.04,low
J,P3,plant,5,0.09,0.201246118,0.09,0.18,0,0.09,low
J,P3,rock,5,0,0,0,0,0,0,low
K,P0,plant,5,0.042,0.026832816,0.012,0.054,0.03,1.178,high
K,P0,rock,5,1.136,1.259793634,0.563396841,1.699396841,0.572603159,1.136,high
K,P1,plant,5,0.032,0.021679483,0.00969536,0.04169536,0.02230464,0.6,high
K,P1,rock,5,0.568,0.458333939,0.204973169,0.772973169,0.363026831,0.568,high
K,P2,plant,5,0.006,0.008944272,0.004,0.01,0.002,3.786,high
K,P2,rock,5,3.78,4.322655434,1.933150279,5.713150279,1.846849721,3.78,high
K,P3,plant,5,0.002,0.004472136,0.002,0.004,0,0.726,high
K,P3,rock,5,0.724,1.35679033,0.606775082,1.330775082,0.117224918,0.724,high
L,P0,plant,5,0.048,0.053572381,0.023958297,0.071958297,0.024041703,1.028,low
L,P0,rock,5,0.98,0.502891638,0.224899978,1.204899978,0.755100022,0.98,low
L,P1,plant,5,0.052,0.110770032,0.049537864,0.101537864,0.002462136,0.28,low
L,P1,rock,5,0.228,0.096020831,0.042941821,0.270941821,0.185058179,0.228,low
L,P2,plant,5,0.022,0.049193496,0.022,0.044,3.46945E-18,0.818,low
L,P2,rock,5,0.796,0.33358657,0.14918445,0.94518445,0.64681555,0.796,low
L,P3,plant,5,0,0,0,0,0,0,low
L,P3,rock,5,0,0,0,0,0,0,low
