Site,Grind_type,TC_m,TC_FTIR,IC_m,IC_FTIR,OC_m,OC_FTIR,Fizz
J,<125,3.53,3.81,0,0,3.53,3.61,N
J,<125,3.35,3.57,0,0,3.35,3.41,N
J,<125,3.31,3.53,0,0,3.31,3.38,N
J,<125,3.16,3.46,0,0,3.16,3.28,N
K,<125,2.23,2.51,0.168,0.11,2.062,2.31,P
K,<125,2.62,2.48,0.16,0.1,2.46,2.37,P
K,<125,2.51,2.55,0.176,0.13,2.334,2.45,P
K,<125,2.43,2.66,0.169,0.06,2.261,2.56,P
K,<125,2.73,2.54,0.176,0.1,2.554,2.4,P
L,<125,2.83,3.22,0.469,0.56,2.361,2.7,P
L,<125,2.62,3.27,0.348,0.55,2.272,2.75,P
L,<125,3.33,3.11,0.39,0.61,2.94,2.59,P
L,<125,3.2,3.07,0.576,0.6,2.624,2.58,P
L,<125,2.93,2.95,0.367,0.49,2.563,2.5,P
A,<2000,3.93,4.205225,0.623,0.55770705,3.307,3.176075,P
A,<2000,4.61,4.4272,0.696,0.633919121,3.914,3.552,P
A,<2000,4.52,4.64405,0.694,0.676649988,3.826,3.73375,P
A,<2000,4,3.9232,0.664,0.553164896,3.336,3.0637,P
A,<2000,4.24,3.952775,0.734,0.724554359,3.506,2.9613,P
B,<2000,3.38,2.68445,0.506,0.572904144,2.874,2.4998,P
B,<2000,2.75,2.012625,0.622,0.680858331,2.128,1.556375,P
B,<2000,3.5,3.13525,0.396,0.542813293,3.104,2.841675,P
B,<2000,2.73,3.587575,0.669,0.578506275,2.061,3.2367,P
B,<2000,3.21,2.33405,0.606,0.575430948,2.604,1.97404,P
C,<2000,1.37,1.633625,0,0,1.37,1.651875, N
C,<2000,1.35,1.76105,0,0,1.35,1.758625, N
C,<2000,1.37,1.76385,0,0,1.37,1.6631, N
C,<2000,1.27,1.88685,0,0,1.27,1.933825, N
C,<2000,1.17,2.195775,0,0,1.17,2.184075, N
D,<2000,1.63,1.694925,0.847,0.961183727,0.783,0.660495,P
D,<2000,1.69,1.48625,0.871,1.019366166,0.819,0.4984725,P
D,<2000,1.69,2.022325,0.838,1.20646058,0.852,0.84351,P
D,<2000,1.78,1.5905425,0.877,1.039847368,0.903,0.687645,P
D,<2000,1.73,1.780175,0.845,1.207362796,0.885,0.63194,P
E,<2000,1.06,0.5534425,0,0,1.06,0.78601, N
E,<2000,1.18,0.7168,0,0,1.18,0.9342675, N
E,<2000,1.09,0.4190725,0,0,1.09,0.702945, N
E,<2000,1.08,1.1187125,0,0,1.08,1.340715, N
E,<2000,1.11,0.7152,0,0,1.11,0.843575, N
F,<2000,1.06,0.836125,0,0,1.06,1.0503225, N
F,<2000,1.01,0.9055575,0,0,1.01,1.0934975, N
F,<2000,1.13,0.8788525,0,0,1.13,1.03207, N
F,<2000,1.04,1.071875,0,0,1.04,1.327175, N
F,<2000,1.09,0.9644825,0,0,1.09,1.18364, N
G,<2000,1.37,1.336605,0,0,1.37,1.72245, N
G,<2000,1.33,1.17777,0,0,1.33,1.6288275, N
G,<2000,1.38,1.0929575,0,0,1.38,1.656175, N
G,<2000,1.3,1.28906,0,0,1.3,1.816475, N
G,<2000,1.52,1.421195,0,0,1.52,2.02975, N
H,<2000,7.27,7.709925,4.649,3.853391385,2.621,3.0571,P
H,<2000,7.17,7.1516,5.403,3.789007336,1.767,2.958575,P
H,<2000,7.18,6.774425,4.465,3.759902628,2.715,2.57965,P
H,<2000,7.19,6.9775,5.236,3.707658028,1.954,2.918075,P
H,<2000,7.22,7.109925,4.563,3.934740693,2.657,2.876625,P
I,<2000,1.55,1.728975,0,0,1.55,1.545605,N
I,<2000,1.43,1.692675,0,0,1.43,1.5146,N
I,<2000,1.37,2.08835,0,0,1.37,1.932275,N
I,<2000,1.41,1.696925,0,0,1.41,1.49475,N
I,<2000,1.27,1.6533,0,0,1.27,1.4136,N
J,<2000,3.13,3.605125,0,0,3.13,3.20605,N
J,<2000,3.53,3.637275,0,0,3.53,3.258225,N
J,<2000,3.35,4.114525,0,0,3.35,3.7631,N
J,<2000,3.31,3.669475,0,0,3.31,3.281075,N
J,<2000,3.16,3.3811,0,0,3.16,3.0084,N
K,<2000,2.23,2.437425,0.168,-0.16134499,2.062,2.15165,P
K,<2000,2.62,2.5352,0.16,-0.184888331,2.46,2.203375,P
K,<2000,2.51,2.05925,0.176,-0.250012738,2.334,1.854675,P
K,<2000,2.43,2.26975,0.169,-0.178467611,2.261,2.032,P
K,<2000,2.73,2.31565,0.176,-0.125588763,2.554,2.01765,P
L,<2000,2.83,3.10525,0.469,0.376760593,2.361,2.2436,P
L,<2000,2.62,3.1168,0.348,0.394331924,2.272,2.1502,P
L,<2000,3.33,3.3547,0.39,0.380645218,2.94,2.3226,P
L,<2000,3.2,3.166925,0.576,0.426996938,2.624,2.091675,P
L,<2000,2.93,3.111425,0.367,0.414494802,2.563,2.03085,P
